property_name,prop_location,number_of_rooms,prop_bathrooms,sale_price OMR,prop_area SqM,Ad_Type
استراحة جميلة للبيع في ولاية بركاء,"Barka, Al Batinah•",2,5,60000,135,For Sale
نزوى حي التراث /٩,"Nizwa, Al Dakhiliya•",3,3,15000,600,For Sale
Building for sale,"Mutrah, Muscat•",3,3,95000,198,For Sale
مطلوب للشراء بناية عبارة محلات تجارية ومكاتب,"Al Seeb, Muscat•",3,3,500000,111,For Sale
شقة مؤثثة جديدة راقية للبيع في القرم - قلب مسقط ، ميزة الأقساط,"Qurum, Muscat•",3,3,55000,94,For Sale
"استوديو  للبيع في منطقه سندان الصناعيه تم تخفيض السعر الى 10,200","Muscat - Other, Muscat•",3,1,10000,48,For Sale
commercial land ارض تجاريه,"Dhank, Al Dhahirah•",3,3,18000,480,For Sale
ارض ب ولايه المضيبي حي السديره,"Al Mudaibi, Al Sharqiya•",3,3,3000,600,For Sale
مطلوب للشراء بناية عبارة محلات تجارية ومكاتب,"Al Seeb, Muscat•",3,3,500000,100,For Sale
بناية في شارع العام كورنيش مطرح مقابل البحر موقع ذهبي و ستراتيجي,"Mutrah, Muscat•",3,3,800000,400,For Sale
فيلا في الغبره الجنوبيه للبيع,"Al Ghubrah, Muscat•",10,7,200000,350,For Sale
شقه للبيع في نهاية المعبيلة الصناعية,"Al Maabilah, Muscat•",2,2,20000,69,For Sale
ارض صناعية للبية في بركا industrial land for sale,"Barka, Al Batinah•",3,3,75000,1,For Sale
ارض للبيع في العوابي-بوشر,"Bosher, Muscat•",3,3,69000,479,For Sale
منزل للبيع,"Shinas, Al Batinah•",3,3,36000,677,For Sale
بناية للبيع ضخمة في السوق مطرح ٨ شقق,"Mutrah, Muscat•",3,3,220000,480,For Sale
العامرات مدينة النهضة الجفينه وسط جميع الخدمات,"Al Amarat, Muscat•",3,3,25000,600,For Sale
سور ال حديد,"Al Seeb, Muscat•",3,3,45000,505,For Sale
ارض في المحج ولاية العامرات,"Al Amarat, Muscat•",3,3,30000,379,For Sale
ارض في المحج,"Al Amarat, Muscat•",3,3,28000,379,For Sale
أرض للبيع,"Al Hail, Muscat•",3,3,115000,735,For Sale
إحلى قطعة ارض للبيع بركاء الهرم,"Barka, Al Batinah•",3,3,20000,600,For Sale
Hawana Salalah,"Taqah, Dhofar•",1,1,54000,65,For Sale
ارض مميزه لبيع,"Al Rustaq, Al Batinah•",3,3,33000,550,For Sale
restorant,"Salalah, Dhofar•",1,1,2000,10,For Sale
بيت جاهز للبيع جديد 95560109 ف المصنعه,"Al Masn'a, Al Batinah•",3,4,37000,217,For Sale
معي مجموعه أراضي بأسعار فرصه ومواقع مميزة لا تتردد بالتواصل,"Barka, Al Batinah•",3,3,14000,300,For Sale
أرضك ع اول خط من شارع السلطان قابوس بالمعبيله شمال,"Al Seeb, Muscat•",3,3,54000,600,For Sale
شقه للبيع عاجل 9500,"Al Seeb, Muscat•",1,1,9000,48,For Sale
طيمسا2 مساحة 708,"Nizwa, Al Dakhiliya•",3,3,6000,708,For Sale
بركاء الصومحان شمال خلف جراند سنتر بركاء متبقي فله وحده من ٨ فلل,"Barka, Al Batinah•",4,6,55000,300,For Sale
الصومحان شمال,"Barka, Al Batinah•",4,9,90000,700,For Sale
Properties at Muscat Bay,"Barr Al Jissah, Muscat•",2,2,103000,115,For Sale
Villa for sale at Shangri-la Oman,"Barr Al Jissah, Muscat•",3,3,600000,555,For Sale
أرض سكنية للبيع المصنعه المراغه مخطط حي الكوثر,"Al Masn'a, Al Batinah•",3,3,11000,604,For Sale
للبيع فلل المعبيلة الثامنة موقع ممتاز وجميل,"Al Maabilah, Muscat•",4,6,73000,260,For Sale
منزل للبيع في مسقط - ريام,"Mutrah, Muscat•",3,2,85000,354,For Sale
Villa for sale in Dar Al Zain - Seeb Sur Al Hadid,"Al Seeb, Muscat•",4,5,77000,343,For Sale
ارض سكنية للبيع في الملتقى المرحلة 6 زارية,"Sohar, Al Batinah•",3,3,25000,618,For Sale
Running Beauty Salon for sale,"Al Khuwair, Muscat•",3,3,7000,100,For Sale
أرض للبيع في بركاء الهرم شمال مساحة الأرض 529 أرض كونر,"Barka, Al Batinah•",3,3,16000,529,For Sale
‼ فرصة استثمارية مذهلة ‼ أرض استثمارية مع مصنع جاهز في مدينة خزائن ا,"Barka, Al Batinah•",3,3,135000,2,For Sale
أرض سكنية مميزة للبيع في العامرات - العلاية زاوية مفتوحة 600م2 جاهزة ل,"Al Amarat, Muscat•",3,3,9000,600,For Sale
ارض سكني تجاري,"Al Seeb, Muscat•",3,3,550000,563,For Sale
شقة مؤثثة للبيع قريب الموج بسعر ممتاز,"Al Seeb, Muscat•",3,3,57000,119,For Sale
"For sale: Residential and commercial land in Al Maabilah South ,","Al Maabilah, Muscat•",3,3,105000,400,For Sale
بهلاء جبرين ٣,"Bahla, Al Dakhiliya•",3,3,11000,750,For Sale
أنا المالك ارض سكني تجاري في موقع ممتاز للاستثمار,"Yiti, Muscat•",3,3,162000,1,For Sale
بيت للبيع,"Izki, Al Dakhiliya•",2,2,22000,98,For Sale
سكني تجاري قريات,"Qurayyat, Muscat•",3,3,79000,900,For Sale
ارض كونر في محافظة الداخلية ولاية نزوى -ردة البوسعيد,"Nizwa, Al Dakhiliya•",3,3,26000,617,For Sale
للبيع,"Al Khuwair, Muscat•",3,3,280000,695,For Sale
ارض للبيع الخابورة /الغيزين (حرة),"Al Khaboura, Al Batinah•",3,3,7000,600,For Sale
للبيع استراحه جديده ف بركاء السوادي جنوب,"Barka, Al Batinah•",3,2,43000,600,For Sale
للبيع فيلا مستقله ف الخوض الخامسه حي الكوثر مطلوب 220 الف قابل للتفاوض,"Al Khoud, Muscat•",6,7,220000,678,For Sale
building consisting two flats in mumtaz area Ruwi. corner plot.,"Ruwi, Muscat•",3,3,68000,300,For Sale
بركاء . الرميس,"Barka, Al Batinah•",3,3,20000,600,For Sale
مزرعه للبيع,"Bidbid, Al Dakhiliya•",3,3,80000,3,For Sale
منزل للبيع قرب من مدرسة النبراس والحسن بن هاشم والسوق التجاري,"Al Seeb, Muscat•",3,2,59000,451,For Sale
شقه للبيع بركا الهرم,"Barka, Al Batinah•",3,4,19000,156,For Sale
للبيع منزل في وادي اللوامي فرصة,"Al Seeb, Muscat•",5,4,35000,285,For Sale
ارض للبيع العامرات مدينة النهضه مربع 14,"Al Amarat, Muscat•",3,3,16000,600,For Sale
ارض مميزه في العامرات مدينة النهضه مربع 11/2,"Al Amarat, Muscat•",3,3,18000,600,For Sale
مربع 16,"Al Amarat, Muscat•",3,3,10000,600,For Sale
منزل للبيع,"Barka, Al Batinah•",4,5,55000,428,For Sale
أرض صناعية للبيع في المسفاة بوشر,"Misfah, Muscat•",3,3,550000,6,For Sale
شقة للبيع في مسقط الغبرة مقابل بانوراما مول,"Al Ghubrah, Muscat•",2,2,44000,83,For Sale
تم تخفيض السعر فلاه العامرات المحج الأولى تتميز المنطقه بجميع الخدمات,"Al Amarat, Muscat•",3,4,48000,300,For Sale
سمائل الدسر٢,"Sumail, Al Dakhiliya•",3,3,14000,600,For Sale
Luxury 4+1 BHK Villa with Private Pool in Muscat Bay 76324666 LSV04,"Barr Al Jissah, Muscat•",5,5,460000,422,For Sale
فيلا للبيع في موالح الجنوبيه,"Al Mawaleh, Muscat•",5,8,190000,680,For Sale
متوفر لدينا مباني للبيع بجميع الاسعار / We have buildings for sale,"Azaiba, Muscat•",3,3,1000,1,For Sale
أنا المالك والملك لله وبموقع ممتاز,"Al Amarat, Muscat•",3,3,22000,450,For Sale
شقة سكنية للبيع,"Bosher, Muscat•",2,2,43000,81,For Sale
Industrial Land for sale in Misfah,"Misfah, Muscat•",3,3,190000,1,For Sale
للبيع أرض سكنية في ولاية بركاء قريبة من سوق بركاء,"Barka, Al Batinah•",3,3,28000,765,For Sale
فيلل العامرات الثامنه,"Al Amarat, Muscat•",6,6,75000,300,For Sale
بيع ارض سكني في العامرات العتكيه,"Al Amarat, Muscat•",3,3,20000,600,For Sale
الخوض,"Al Khoud, Muscat•",3,3,10000,123,For Sale
flowershop for sale,"Al Khuwair, Muscat•",3,3,4000,30,For Sale
فيلا الشاطي القرم,"Qurum, Muscat•",5,9,300000,396,For Sale
ارض سكنيه المحج الاول,"Al Amarat, Muscat•",3,3,45000,612,For Sale
للبيع فيلا وشقتين ولاية ابراء مقابل مستشفى ابراء,"Ibra, Al Sharqiya•",5,5,70000,580,For Sale
شاليه للبيع عدونب مربع ج محافظة ظفار,"Salalah, Dhofar•",2,2,55000,210,For Sale
منزل للبيع في شافع قلعة العوامر,"Izki, Al Dakhiliya•",5,5,36000,600,For Sale
أرض زراعيه في المصنعه,"Al Masn'a, Al Batinah•",3,3,90000,11,For Sale
أرض سكنية في الرميس حلبان خلف الجامعة الألمانية*,"Al Maabilah, Muscat•",3,3,46000,900,For Sale
Residential/Commercial Land Al Misfah,"Misfah, Muscat•",3,3,50000,400,For Sale
أرض زراعية 5742م² للبيع في بركاء - موقع مميز وسعر ممتاز,"Barka, Al Batinah•",3,3,120000,5,For Sale
فرصة ذهبية ارض للاستثمار او البيع في الرميس,"Barka, Al Batinah•",3,3,50000,1,For Sale
سكني تجارية بمرتفعات حبراء مقابل قاعة قصر الأندلس,"Wadi Al Ma'awal, Al Batinah•",3,3,25000,507,For Sale
مصنعه,"Al Masn'a, Al Batinah•",3,3,6000,621,For Sale
ارضين شبك خلف مول بانوراما سكني تجاري,"Bosher, Muscat•",3,3,800000,1,For Sale
منزل للبيع المضيبي / house for sale mudiybe,"Al Mudaibi, Al Sharqiya•",3,3,25000,250,For Sale
بيع أرض تجاري سكني / bossiness hosing land for sale,"Al Mudaibi, Al Sharqiya•",3,3,40000,414,For Sale
ارض سكنية للبيع,"Sumail, Al Dakhiliya•",3,3,21000,600,For Sale
ارض للبيع قرب مدينة السلطان هيثم,"Barka, Al Batinah•",3,3,24000,600,For Sale
ارض للبيع سمائل العوينة,"Sumail, Al Dakhiliya•",3,3,14000,750,For Sale
بركاء الهرم ،، الهرم,"Barka, Al Batinah•",6,5,65000,285,For Sale
أرض للبيع في قريات حي الساحل المسح التواصل واتساب,"Qurayyat, Muscat•",3,3,12000,600,For Sale
فرصة ذهبية! أرض للبيع في موقع مميز وبسعر ممتاز و مساحتها 837,"Yunqul, Al Dhahirah•",3,3,8000,837,For Sale
مطلوب اراضي,"Al Amarat, Muscat•",3,3,1000,600,For Sale
فيلا خط أول من الشارع العام كورنر,"Saham, Al Batinah•",6,6,100000,510,For Sale
ارض تجارية500,"Sohar, Al Batinah•",3,3,18000,165,For Sale
ارض سكنية للبيع - البريمي,"Al Buraimi, Al Buraimi•",3,3,10000,612,For Sale
سكني تجاري للبيع في بركاء,"Barka, Al Batinah•",3,3,45000,619,For Sale
a new big twin villa for sale,"Al Mawaleh, Muscat•",8,8,170000,500,For Sale
سكني تجاري المعبيله الثامنة,"Al Maabilah, Muscat•",3,3,105000,400,For Sale
أرض للبيع العامرات مدينة النهضة مربع ٣,"Al Amarat, Muscat•",3,3,23000,600,For Sale
ارض للبيع من المالك مباشرة,"Al Amarat, Muscat•",3,3,13000,600,For Sale
SHOP FOR SALE,"Mutrah, Muscat•",3,3,3000,10,For Sale
فيلا كورنر للبيع المعبيلة المرحلة التاسعة,"Al Maabilah, Muscat•",4,6,72000,278,For Sale
تملك شقتك الفاخرة والعصرية في قلب المعبيلة الجنوبية على شارع النور واض,"Al Maabilah, Muscat•",2,2,29000,94,For Sale
بيت للبيع,"Suwaiq, Al Batinah•",3,3,35000,600,For Sale
فله للبيع خلف الجامعه الألمانيه,"Al Maabilah, Muscat•",7,7,80000,580,For Sale
أستراحة,"Barka, Al Batinah•",4,4,52000,613,For Sale
النهضه الثانيه ولايه السويق زاويه خط اول من خط الغاز,"Suwaiq, Al Batinah•",3,3,5000,619,For Sale
للبيع ارض سكني في نزوى مخطط طيمسا بعد حديقة النعام,"Nizwa, Al Dakhiliya•",3,3,9000,600,For Sale
ارض للبيع في سيح الاحمر,"Bidbid, Al Dakhiliya•",3,3,28000,600,For Sale
2 BHK Golf View for sale in Golf Tower/Muscat Hills,"Muscat Hills, Muscat•",2,3,110000,142,For Sale
ارض للبيع,"Al Masn'a, Al Batinah•",3,3,8000,623,For Sale
ارض تجارية في طاقة,"Taqah, Dhofar•",3,3,20000,420,For Sale
مخبز تنور للبيع,"Al Mawaleh, Muscat•",3,3,1000,40,For Sale
أرض سكنية للبيع في العوينة 3,"Sumail, Al Dakhiliya•",3,3,10000,641,For Sale
ولاية بوشر,"Bosher, Muscat•",3,3,46000,118,For Sale
ارض للبيع ولاية عبري ( القرين ),"Ibri, Al Dhahirah•",3,3,9000,750,For Sale
ارض سكني تجاري,"Al Mudaibi, Al Sharqiya•",3,3,18000,230,For Sale
ارض شبه كورنر مميزه في الانصب الثانية,"Ansab, Muscat•",3,3,125000,673,For Sale
ارض للبيع العامرات 11/1,"Al Amarat, Muscat•",3,3,28000,645,For Sale
Beauty parlor sale & salon equipment,"Al Maabilah, Muscat•",3,3,2000,100,For Sale
شقة الأحلام بناء شخصي,"Al Amarat, Muscat•",3,4,31000,135,For Sale
Al Mouj one bedroom apartment for sale,"The Wave (Almouj), Muscat•",1,1,95000,85,For Sale
للبيع استيديو في ولاية مرباط  مشروع مراسي مرباط السكني,"Salalah, Dhofar•",1,1,18000,41,For Sale
Coffee Shop for Sale – Running Business,"Ghala, Muscat•",3,3,5000,70,For Sale
ارض للبيع في العامرات الحاجر حيم,"Al Amarat, Muscat•",3,3,13000,600,For Sale
أرض سكنية القريحة السادسة قريب مزرعة الطاؤس,"Suwaiq, Al Batinah•",3,3,6000,611,For Sale
أبوعبالي الساحل الردة مطلوب ٧٤٠٠ من المالك,"Al Masn'a, Al Batinah•",3,3,7000,627,For Sale
ارض للبيع في طيمسا 6,"Nizwa, Al Dakhiliya•",3,3,18000,849,For Sale
منازل جاهزه للبيع,"Saham, Al Batinah•",4,4,32000,200,For Sale
فلة راقية للبيع . . ب 85 ألف,"Al Rustaq, Al Batinah•",5,7,85000,490,For Sale
السوادي الجنوب,"Barka, Al Batinah•",3,3,9000,616,For Sale
توين فيلا مرتفعات عامرات سادسه مع الاثاث بحلتها جديده,"Al Amarat, Muscat•",4,5,54000,241,For Sale
بركاء منطقة الفليج المعمورة,"Barka, Al Batinah•",3,3,12000,751,For Sale
villa for sell,"Bosher, Muscat•",12,7,165000,335,For Sale
العامرات حيم,"Al Amarat, Muscat•",3,3,15000,613,For Sale
cafe and restaurant,"Al Khuwair, Muscat•",3,3,15000,308,For Sale
سكني تجاري للبيع بشكل عاجل,"Al Khaboura, Al Batinah•",3,3,12000,600,For Sale
بركاء/ الفليج/ الفليج المعمورة,"Barka, Al Batinah•",3,3,11000,630,For Sale
بيت تكون من شقتين وغرفه سايق وملحق,"Salalah, Dhofar•",3,3,6000,600,For Sale
ارض صناعيه للبيع,"Suwaiq, Al Batinah•",3,3,45000,1,For Sale
مطلوب أرض سكني تجاري قريات,"Qurayyat, Muscat•",3,3,50000,2,For Sale
بيت قديم في منطقة وادي عدي بسعر مغري,"Al Amarat, Muscat•",3,1,16000,149,For Sale
عزبة للبيع,"Al Buraimi, Al Buraimi•",3,3,3000,1,For Sale
Alkhuwair 17/2 Villa for sale or investor if anyone intrusted,"Al Khuwair, Muscat•",5,7,110000,336,For Sale
البريمي ارض الجو,"Al Buraimi, Al Buraimi•",3,3,15000,668,For Sale
أرض للبيع,"Barka, Al Batinah•",3,3,15000,690,For Sale
العامرات الحاجر,"Al Amarat, Muscat•",3,3,10000,600,For Sale
أرض سكنية ملاصقة المعبيلة الثامنة الشخاخيط,"Al Maabilah, Muscat•",3,3,38000,600,For Sale
A LEGACY SHOP FOR SALE IN THE HEART OF SOUTH AL GHUBRA,"Al Ghubrah, Muscat•",3,3,8000,25,For Sale
شقة في العامرات السادسة البريد.  وسط الخدمات وكافة اامرافق,"Al Amarat, Muscat•",2,2,17000,85,For Sale
أرض للبدل,"Al Amarat, Muscat•",3,3,13000,600,For Sale
showroom,"Al Seeb, Muscat•",3,3,1000,300,For Sale
جزء من توين فيلا للبيع في المعبيلة السادسه خط اول من شارع,"Al Seeb, Muscat•",4,3,68000,280,For Sale
